question,generated sql,executed successfully,correct result,retry needed,final status
List all products,"SELECT 
  p.*
FROM 
  products p;",True,True,False,correct
Get all customers,"SELECT 
  c.*
FROM 
  customers c;",True,True,False,correct
Show all orders,"SELECT 
  o.*
FROM 
  orders o;",True,True,False,correct
List all employees,"SELECT 
  e.*
FROM 
  employees e;",True,True,False,correct
Get all offices,"SELECT 
  o.*
FROM 
  offices o;",True,True,False,correct
Show all product lines,"SELECT 
  pl.*
FROM 
  productlines pl;",True,True,False,correct
List all payments,"SELECT 
  p.*
FROM 
  payments p;",True,True,False,correct
Get product names and prices,"SELECT 
  p.""productName"", 
  p.""buyPrice"", 
  p.""MSRP""
FROM 
  products p;",True,True,False,correct
Get customer names and cities,"SELECT 
  c.""customerName"", 
  c.""city""
FROM 
  customers c;",True,True,False,correct
List employee first and last names,"SELECT 
  e.""firstName"", 
  e.""lastName""
FROM 
  employees e;",True,True,False,correct
Get all order dates,"SELECT o.""orderDate""
FROM orders o;",True,True,False,correct
Show product vendor list,"SELECT DISTINCT p.""productVendor""
FROM products p;",True,True,False,correct
Get all product codes,"SELECT p.""productCode""
FROM products p;",True,True,False,correct
List all countries from offices,"SELECT o.""country""
FROM offices o;",True,False,False,incorrect
Show all order statuses,"SELECT o.""status""
FROM orders o;",True,False,False,incorrect
Get all payment amounts,"SELECT p.""amount""
FROM payments p;",True,True,False,correct
List all job titles,"SELECT DISTINCT e.""jobTitle""
FROM employees e;",True,True,False,correct
Get customer phone numbers,"SELECT c.""phone""
FROM customers c;",True,True,False,correct
Show product MSRP values,"SELECT 
  p.""MSRP""
FROM 
  products p;",True,False,False,reference_failed
List order numbers,"SELECT o.""orderNumber""
FROM orders o;",True,True,False,correct
Get orders with customer names,"SELECT 
  o.*,
  c.""customerName""
FROM 
  orders o
INNER JOIN 
  customers c ON o.""customerNumber"" = c.""customerNumber"";",True,False,False,reference_failed
Get employees with office city,"SELECT 
  e.""lastName"", 
  e.""firstName"", 
  o.""city""
FROM 
  employees e
INNER JOIN 
  offices o ON e.""officeCode"" = o.""officeCode"";",True,False,False,reference_failed
